Individual;rdf:type;sosa:isObservedBy
Status;sosa:ObservableProperty;HeatPump01PressureSwitchStatusSensor
Status;sosa:ObservableProperty;HeatPump01InValveStatusSensor
Status;sosa:ObservableProperty;HeatPump01OutValveStatusSensor
Status;sosa:ObservableProperty;CoolerReleaseStatusSensor
Status;sosa:ObservableProperty;CoolerUP3StatusSensor
Status;sosa:ObservableProperty;CoolerMV1StatusSensor
Status;sosa:ObservableProperty;CoolerMV19StatusSensor
Status;sosa:ObservableProperty;HeatExchangerUPStatusSensor
Status;sosa:ObservableProperty;HeatPump02StatusSensor
Status;sosa:ObservableProperty;HeatPump02PressureSwitchStatusSensor
Status;sosa:ObservableProperty;HeatPump02InValveStatusSensor
Status;sosa:ObservableProperty;HeatPump02OutValveStatusSensor
Status;sosa:ObservableProperty;HeatPump03StatusSensor
Status;sosa:ObservableProperty;HeatPump03PressureSwitchStatusSensor
Status;sosa:ObservableProperty;HeatPump03InValveStatusSensor
Status;sosa:ObservableProperty;HeatPump03OutValveStatusSensor
Status;sosa:ObservableProperty;HeatPump04StatusSensor
Status;sosa:ObservableProperty;HeatPump04PressureSwitchStatusSensor
Status;sosa:ObservableProperty;HeatPump04InValveStatusSensor
Status;sosa:ObservableProperty;HeatPump04OutValveStatusSensor
Status;sosa:ObservableProperty;HeatPump05StatusSensor
Status;sosa:ObservableProperty;HeatPump05PressureSwitchStatusSensor
Status;sosa:ObservableProperty;HeatPump05InValveStatusSensor
Status;sosa:ObservableProperty;HeatPump05OutValveStatusSensor
Status;sosa:ObservableProperty;HeatPump06StatusSensor
Status;sosa:ObservableProperty;HeatPump06PressureSwitchStatusSensor
Status;sosa:ObservableProperty;HeatPump06InValveStatusSensor
Status;sosa:ObservableProperty;HeatPump06OutValveStatusSensor
Status;sosa:ObservableProperty;HeatPump07StatusSensor
Status;sosa:ObservableProperty;HeatPump07PressureSwitchStatusSensor
Status;sosa:ObservableProperty;HeatPump07InValveStatusSensor
Status;sosa:ObservableProperty;HeatPump07OutValveStatusSensor
Status;sosa:ObservableProperty;HeatPump08StatusSensor
Status;sosa:ObservableProperty;HeatPump08PressureSwitchStatusSensor
Status;sosa:ObservableProperty;HeatPump08InValveStatusSensor
Status;sosa:ObservableProperty;HeatPump08OutValveStatusSensor
Status;sosa:ObservableProperty;HeatPump01FlowStatusSensor
Status;sosa:ObservableProperty;HeatExchangerUPFlowStatusSensor
Status;sosa:ObservableProperty;HeatPump02FlowStatusSensor
Status;sosa:ObservableProperty;HeatPump03FlowStatusSensor
Status;sosa:ObservableProperty;HeatPump04FlowStatusSensor
Status;sosa:ObservableProperty;HeatPump05FlowStatusSensor
Status;sosa:ObservableProperty;HeatPump06FlowStatusSensor
Status;sosa:ObservableProperty;HeatPump07FlowStatusSensor
Status;sosa:ObservableProperty;HeatPump08FlowStatusSensor
Position;sosa:ObservableProperty;HeatPump01InValvePositionSensor
Position;sosa:ObservableProperty;HeatPump01OutValvePositionSensor
Position;sosa:ObservableProperty;CoolerMV1PositionSensor
Position;sosa:ObservableProperty;CoolerMV19PositionSensor
Position;sosa:ObservableProperty;HeatPump02InValvePositionSensor
Position;sosa:ObservableProperty;HeatPump02OutValvePositionSensor
Position;sosa:ObservableProperty;HeatPump03InValvePositionSensor
Position;sosa:ObservableProperty;HeatPump03OutValvePositionSensor
Position;sosa:ObservableProperty;HeatPump04InValvePositionSensor
Position;sosa:ObservableProperty;HeatPump04OutValvePositionSensor
Position;sosa:ObservableProperty;HeatPump05InValvePositionSensor
Position;sosa:ObservableProperty;HeatPump05OutValvePositionSensor
Position;sosa:ObservableProperty;HeatPump06InValvePositionSensor
Position;sosa:ObservableProperty;HeatPump06OutValvePositionSensor
